,MYGDP,MYCPI,MXGDP,MXCPI,ZAGDP,ZACPI,FRGDP,FRCPI
1980,58245,41.41,4708.15,0.08,64749.48,6.48,451770,38.72
1981,62949,45.43,6470.86,0.1,75134.41,7.47,509985,43.87
1982,68374.94,48.07,10412.27,0.16,85313.33,8.56,585989,49.13
1983,76007.97,49.85,18753.72,0.32,97573.64,9.62,650512,53.78
1984,86917.76,51.79,30924.16,0.53,114319.19,10.73,707030,57.9
1985,84645.1,51.97,50146.42,0.84,131923.39,12.47,757689,61.28
1986,78224.88,52.36,82314.06,1.56,154579.15,14.8,814596,62.83
1987,86999.7,52.51,203338.06,3.61,180678.12,17.19,855983,64.9
1988,99107.87,53.85,412822.12,7.73,216788.43,19.39,925215,66.65
1989,112898.43,55.36,544971.66,9.28,260214.48,22.24,997121,68.98
1990,127768.36,56.81,734801.61,11.75,299533.94,25.43,1053546,71.19
1991,147168,59.29,945199.53,14.42,342889.4,29.33,1091705,73.48
1992,164112,62.12,1123935.85,16.65,384444.86,33.4,1130983,75.21
1993,187543,64.31,1560101.63,18.28,439709.98,36.65,1142119,76.8
1994,212882,66.71,1781431.26,19.55,497166.91,39.92,1179867,78.07
1995,242301,69.01,2311467.45,26.39,564931.2,43.39,1218273,79.47
1996,276348,71.42,3123187.84,35.47,635805.33,46.58,1252266,81.04
1997,306914,73.32,3962504.15,42.78,704440.26,50.58,1292777,82.02
1998,308490,77.18,4810145.44,49.6,763091.44,54.06,1351896,82.55
1999,327572,79.3,5738464.87,57.82,836324,56.86,1400999,83
2000,388168,80.52,6693653.52,63.31,948104.98,59.9,1478585,84.39
2001,384006,81.66,7069408.8,67.34,1048112.84,63.31,1538200,85.77
2002,417367,83.14,7455427.02,70.73,1219555.89,69.33,1587829,87.42
2003,456095,84.04,7868823.53,73.95,1328261.08,73.26,1630666,89.25
2004,516302,85.24,8828341.36,77.42,1479402,72.76,1704019,91.16
2005,569371,87.77,9562640.8,80.5,1642339.07,74.26,1765905,92.76
2006,625100,90.94,10630980.07,83.42,1842861.74,76.67,1848151,94.31
2007,696910,92.78,11504066.74,86.73,2113472.07,81.4,1941360,95.71
2008,806480,97.83,12353863.78,91.18,2373521.56,89.59,1992380,98.41
2009,746679,98.4,12162740.34,96.01,2512396.43,96.1,1936422,98.49
2010,833104,100,13366385.99,100,2748082.05,100,1995289,100
2011,924685,103.17,14665605.98,103.41,3022420.98,105.02,2058369,102.11
2012,985049,104.89,15817704.54,107.66,3245251.32,111.03,2088804,104.11
2013,1033085,107.1,16277176.46,111.76,3540331.53,117.44,2117189,105.01
2014,1122160,110.46,17484239.84,116.25,3796487.7,124.65,2149765,105.54
2015,1176941,112.79,18572070.35,119.41,4042564.43,130.27,2198432,105.58
2016,1249697,115.15,20129012.43,122.78,4348771.52,138.86,2234129,105.77
2017,1372310,119.61,21934186.89,130.2,4659233.01,146.05,2297242,106.86
2018,1447452,120.66,23523298.08,136.58,4849422.43,152.63,2363306,108.84
2019,1510693,121.46,24443056.58,141.54,5058588.69,158.93,2437635,110.05
