Year,MY_G,MX_G,ZA_G,FR_G
1981,-1.498365932,9.487041999,0.657848447,-0.366634002
1982,2.619590635,0.567226831,-0.915311965,2.568057355
1983,6.947160548,-10.47399662,1.753258618,1.40269224
1984,9.5945597,-0.441038807,4.918778128,0.949761894
1985,-2.996471132,2.288448531,-0.705527596,1.246377255
1986,-8.6355778,-12.34444029,-1.28165335,4.744013262
1987,10.34562282,6.530603156,0.631020408,1.714327402
1988,10.51054066,-5.325420638,6.177514553,5.116820389
1989,10.26248043,9.496431111,4.544931292,4.048442287
1990,9.787531675,6.287505731,0.668440926,2.350901797
1991,9.862756325,4.703261239,-0.750109071,0.391817579
1992,6.234698965,2.940182324,-1.555259154,1.207553128
1993,9.881188902,23.45169401,4.145747323,-1.112229643
1994,9.009014256,6.549843288,3.734640839,1.611519132
1995,9.554617843,-3.954440136,4.442660073,1.425883002
1996,9.715366559,0.526952293,4.724621311,0.795716008
1997,7.865115619,5.063852787,2.012612165,1.981764759
1998,-4.618508328,4.593100407,1.343603721,3.82743834
1999,3.29206778,2.312050679,4.114066561,3.024106456
2000,15.44628852,6.325955339,7.336473781,3.729169241
2001,-2.483874326,-0.709410536,4.491450689,2.330696845
2002,6.534610527,0.404997346,6.066109763,1.269997833
2003,7.796824833,0.944695896,3.024681584,0.590351469
2004,10.98128132,6.92026362,11.46157277,2.282627454
2005,6.859142777,4.088472843,8.407744072,1.827442026
2006,5.78992024,7.027755903,8.326012018,2.895065682
2007,8.871348974,4.00164599,7.714769357,3.446752091
2008,9.3022642,2.123253831,2.017418311,-0.187849308
2009,-8.285325043,-6.720844069,-1.328330132,-2.930055898
2010,9.339372848,5.364800583,4.988531134,1.473179589
2011,7.308672754,5.923049271,4.617430503,1.024454205
2012,4.670417829,3.534838618,1.548500944,-0.471963717
2013,2.676256873,-0.87415456,3.090044996,0.489006084
2014,5.181544105,3.214665566,1.027372943,1.023482413
2015,2.678908197,3.353905844,1.870349092,2.200691372
2016,3.927447874,5.267213427,0.915713391,1.430909801
2017,5.559350558,2.720669225,1.847465093,1.760518884
2018,4.456909504,2.210607907,-0.40588963,0.999286587
2019,3.615539919,0.268301433,0.178075633,1.991092669
